NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;lat;lon;
23117;117;L_vt1_Munkkiniemi;Tie 1 Munkkiniemi;60.202898816;24.8726068163;
23103;103;L_vt1_Huopalahti;Tie 1 Huopalahti;60.2054356654;24.8428279285;
23144;144;L_vt1_Friisinmäki;Tie 1 Friisinmäki;60.2071712958;24.7938222835;
23167;167;L_vt1_Sepänkylä;Tie 1 Sepänkylä;60.2032131532;24.7411953245;
23175;175;L_vt1_Lommila;Tie 1 Espoo, Lommila;60.2154559002;24.661370535;
23139;139;L_vt1_Nupuri;Tie 1 Nupuri;60.2304747574;24.5995038116;
23191;191;L_vt1_Kolmiranta;Tie 1 Espoo, Kolmiranta;60.2575485803;24.5006806581;
23192;192;L_vt1_Veikkola;Tie 1 Veikkola;60.2870416284;24.4167152044;
23104;104;L_vt1_Palojärvi;Tie 1 Palojärvi;60.2923433327;24.3439236988;
23193;193;L_vt1_Hevoskallio;Tie 1 Hevoskallio;60.302136725;24.2534241371;
23194;194;L_vt1_Lehmijärvi;Tie 1 Lohja, Lehmijärvi;60.2880070602;24.1587519163;
24607;1607;L_vt1_Karnainen;Tie 1 Karnainen;60.2887878788;24.0792165922;
24606;1606;L_vt1_Pitkämäki;Tie 1 Pitkämäki;60.3286428588;23.9351449692;
24605;1605;L_vt1_Hauklampi;Tie 1 Hauklampi;60.3668263549;23.8716857586;
23106;106;L_vt2_Huhmari;Tie 2 Huhmari;60.3091677819;24.3451646693;
23122;122;L_vt2_Karkkila;Tie 2 Karkkila;60.5729448212;24.1540782285;
23164;164;L_vt3_Kivihaka;Tie 3 Kivihaka;60.2119467628;24.9021101313;
23152;152;L_vt3_Pirkkola;Tie 3 Pirkkola;60.2264335506;24.9031705143;
23165;165;L_vt3_Hakuninmaa;Tie 3 Hakuninmaa;60.2598334291;24.8774804;
23107;107;L_vt3_Kaivoksela;Tie 3 Kaivoksela;60.2686403806;24.8738360198;
23137;137;L_vt3_Keimola;Tie 3 Keimola;60.3258223867;24.8234941455;
23108;108;L_vt3_Karhunkorpi;Tie 3 Karhunkorpi;60.4965034634;24.8520446021;
23154;154;L_vt4_Viikinmäki;Tie 4 Viikinmäki;60.2209478756;24.9885765355;
23109;109;L_vt4_Jakomäki;Tie 4 Jakomäki;60.2549208047;25.0686699933;
23110;110;L_vt4_Mäntsälä;Tie 4 Mäntsälä;60.5900341379;25.2324694418;
23998;998;L_vt4_Mäntsälä_E;Tie 4 Mäntsälä, etelä;60.5988343176;25.2467271837;
23999;999;L_vt4_Mäntsälä_P;Tie 4 Mäntsälä, pohjoinen;60.6785915519;25.3661007822;
23142;142;L_vt4_Levanto;Tie 4 Mäntsälä, Levanto;60.7366465213;25.4421466818;
23111;111;L_vt6_Liljendal;Tie 6 Liljendal;60.558197594;26.048894527;
23179;179;L_vt7_Fazerila;Tie 7 Länsimäentie;60.2542243417;25.1120301048;
